"Age","Sex","ID","Height","Chest","Belly","Thigh","Knee","Calf","Ankle","Biceps","Wrist","Weight"
28,"m",177,177.8,116.7,113.2,57.7,37.8,37.4,24.1,37.4,17.1,102.5
39,"m",178,184.2,105,79.5,51.8,33.9,28.9,20.3,36.2,15.8,77.3
30,"m",179,179.1,95.1,85.4,52.7,37.4,34.4,24.5,31.2,17.1,71.8
36,"m",180,176.5,106.7,97.9,60.8,37.7,39.4,22.6,36.2,17.5,87.9
39,"m",181,167.6,100.8,83.7,53.3,35.4,37,22.7,32.5,16.6,72.3
37,"m",182,180.3,95.7,82.9,51.9,33.4,32.8,21.4,32.2,16.3,73.6
33,"m",183,188,109.1,78.9,55.7,37.2,36.8,23.4,38.5,19.6,85.9
25,"m",184,180.3,105.4,80.7,56.8,35,34.3,23.3,38.3,17.3,73.2
35,"m",185,167.6,104.3,94.3,59.1,35.5,35.9,22.6,35,17.3,76.3
28,"m",186,183,100.5,70.2,51.7,33.2,34.9,23.7,32.1,18.4,65.9
26,"m",187,183,111.8,83.6,59.5,36.7,38.3,25.5,40.4,19.4,90.9
30,"m",188,170.2,101.2,71.8,50.1,34.1,33.4,23.1,34.2,18.3,62.3
26,"m",189,177.8,103.3,85,55.2,34.9,37.3,23.5,35.2,17.3,82.7
30,"m",190,190.5,103.1,96.5,62.3,41.7,37,24.3,34.8,16.7,98.2
24,"m",191,177.8,104.6,82.4,63.3,38.4,39.8,25.4,38.6,18.1,84.1
35,"m",192,180.3,104.3,86.3,59.7,39.3,42,27.7,36.4,18.4,83.2
37,"m",193,180.3,95.9,83.2,57.8,36.3,39.6,25.2,34,17,83.2
22,"f",194,161.2,83,66.5,53.5,32,32.2,21,24.3,13.5,51.6
20,"f",195,167.5,78.5,61.5,57.7,38.5,38.5,22.5,27.8,15,59
19,"f",196,159.5,75,61.2,53,32.5,32.5,19,24,14,49.2
25,"f",197,157,86.5,78,61.5,35.2,36.7,23,28,15,63
21,"f",198,155.8,91,70.5,55,33,33.3,19.9,26.9,14.5,53.6
23,"f",199,170,79.5,66.5,54,34,35,23,26.5,14.5,59
26,"f",200,159.1,77,58,49.5,32.5,32,19,24.1,13.9,47.6
22,"f",201,166,88,74.5,64,38.5,38,22,29.2,16.8,69.8
28,"f",202,176.2,85,73.5,65.3,35.3,37.4,21.6,29,15.2,66.8
40,"f",203,160.2,98.8,90.5,61.1,37.2,35.8,22.6,33.6,16.3,75.2
32,"f",204,172.5,79,66.5,52,32.2,32.5,19.9,24.8,13.8,55.2
25,"f",205,170.9,77.6,61,53,34,34.5,20.5,25.4,15.3,54.2
25,"f",206,172.9,85,69.5,55.8,36.1,35.3,20.9,25.9,14.4,62.5
29,"f",207,153.4,76.7,62,48.8,30.8,30.4,17.9,24,13.2,42
22,"f",208,160,76.7,63.4,54,34.4,32.8,19.1,25.6,13.8,50
25,"f",209,147.2,82,71,54.5,33.5,35,21,26,14,49.8
23,"f",210,168.2,79,59,51.2,32.5,29.6,18.5,23.5,14.5,49.2
37,"f",211,175,89.5,74,61.5,38.6,38.6,23.8,31,17,73.2
19,"f",212,157,73.5,60.5,54,29,33,19,24.6,13.2,47.8
23,"f",213,167.6,90,75,59,37,36.5,20.6,28.7,15.9,68.8
25,"f",214,159.5,80,65,53.5,32,31.5,22,27,13.8,50.6
26,"f",215,175,94.5,82.2,69,40.5,38.6,23,32.5,16.6,82.5
24,"f",216,166.8,83.8,70.2,54.1,34.3,30.9,19.4,25.9,14.5,57.2
29,"f",217,176.5,95.2,85,68,40.1,40,24.2,34.4,17.6,87.8
22,"f",218,170.2,91,75,62,38.2,40,23,31.5,16,72.8
30,"f",219,174,80,63,51.1,35.2,33.7,20.9,24.6,15.2,54.5
23,"f",220,173,81.7,70,57.9,37.2,36,21,26.3,15,59.8
38,"f",221,179.9,89.6,72.6,56.4,37,38.4,21.3,27.4,15.6,67.3
23,"f",222,170.5,90.9,78.7,59.9,35.4,36.7,21.3,29.5,15.6,67.8
19,"f",223,160,78.5,61,49.5,32.5,33,20.5,24.5,14.5,47
20,"f",224,162,80.2,63.1,57.1,35,35,20.1,26.4,14.9,55
22,"f",225,176.5,99,85,65.6,39.6,38.9,23.3,31.6,15.9,83
25,"f",226,160,80,66,52.5,33,34.8,20.5,25,14.4,54.4
21,"f",227,152,75.5,65,51,31.5,31,20,24.5,14,45.8
23,"f",228,162.1,82.6,63.2,55.8,33.6,33.4,20,27,15.6,53.6
31,"f",229,170,94.5,83.6,61.5,37.2,35.2,22.3,31,16.1,73.2
29,"f",230,160.2,83.9,68,52.2,33.2,35.3,21.2,26.2,14.6,52.1
19,"f",231,161.3,92.8,75.7,64.3,35.5,38,21.5,31,15.3,67.9
21,"f",232,166.4,85.3,65.5,53.7,35.6,33.4,21.9,27.8,15.2,56.6
23,"f",233,168.9,84.4,66.9,59.2,35.9,34.6,20,28.5,15.1,62.3
24,"f",234,163.8,87.6,67.9,57,37.1,36.3,20.6,29.6,15.2,58.5
20,"f",235,167.6,81,67.8,55.8,32.3,30,18.8,26.3,14.3,54.5
19,"f",236,160,84.1,63.2,52.1,32.3,31.6,18.9,26.5,15,50.2
20,"f",237,161.3,88.2,73.1,57.2,34.9,35.7,22,27,15.1,60.3
19,"f",238,167.6,88.1,65.3,55.7,33.1,35.4,21.2,27.7,15.7,58.3
20,"f",239,165.1,84.9,65.6,57.4,35.1,35.6,21,27.7,14.7,56.2
19,"f",240,160,81.2,62.7,54,32.6,32.9,19.8,25.3,13.8,50.2
22,"f",241,170,91.6,81.8,60.7,35,36.3,21.4,28.3,15.3,72.9
39,"f",242,157.5,88.4,72.1,59.2,34.3,37.1,21.9,29,14.3,59.8
18,"f",243,167.6,87.6,68.6,56.6,35.6,34,20.7,28.5,15.5,61
19,"f",244,160.7,91.3,80,62.7,36.3,36,21,30,14.6,69.1
26,"f",245,163.2,87.2,64.9,53.1,34,35.4,20.7,28,15.5,55.9
20,"f",246,152.4,82.2,61.7,50.3,30.5,33.8,20.7,23.7,14.6,46.5
20,"f",247,157.5,82.1,64,56.8,33.7,34,20.3,25.8,14.6,54.3
26,"f",248,168.3,82.6,58.6,54.9,33.2,35.8,20.7,27.1,14.4,54.8
21,"f",249,180.3,86.5,68.3,57,35.9,32.5,19.7,26,14.6,60.7
21,"f",250,165.5,85.3,69.5,55.7,34.9,37.1,20.1,24.9,14.9,60
38,"f",251,165,84.7,70.5,54.6,33.5,33.5,20,28,14.6,62
23,"f",252,164.5,86.8,69.8,55.7,35.9,34.2,21.5,25.4,15.1,60.3
37,"f",253,156,85.2,69,51.5,31.6,33.3,19.6,26.6,15.3,52.7
19,"f",254,160,93.9,81,65.5,38.1,37.7,21.7,31.3,15.9,74.3
25,"f",255,163,84.5,71,59.5,34,34.2,20.6,28,15,62
20,"f",256,165.7,90.7,73.6,65.8,38.8,39.7,24.3,29.5,15.9,73.1
26,"f",257,162,83.3,65,55.3,33,31.5,18.9,27.7,14.1,54.7
21,"f",258,166,82.1,62.8,51.5,34,34.8,20.9,24.6,14.3,53.2
19,"f",259,172.7,83.6,67.6,57.5,38.5,35,22.1,26.4,15.6,61.1
35,"f",260,151.1,77,61.6,53.6,33.3,32.4,19,26.3,14.2,48.7
32,"f",261,164.5,79.3,63.2,51.6,32.5,31.3,18.4,24.2,14.7,52.3
22,"f",262,152,85.6,62.7,61.5,35.4,38.5,21.3,28,15.4,59.3
25,"f",263,161.2,85,65.7,56.1,33.2,34.4,20.3,29.4,14.4,54.8
18,"f",264,176.2,86,68.2,59.8,36.8,38.1,21.8,29.8,16.2,67.2
30,"f",265,170,89.8,68.5,62,40.9,40.4,23.3,30.1,16.4,69.4
20,"f",266,162.5,84.5,68.8,56.5,34.4,35.2,21.6,27,14.6,58.2
24,"f",267,170.3,88.2,69,57.6,37,35,22.2,28.6,16.2,64.8
23,"f",268,164.1,99.5,78,64.8,35.2,36.7,21.8,31.1,16.2,71.6
30,"f",269,169.5,76.1,62,52.6,34.2,34.8,20.2,24.3,14.4,52.8
23,"f",270,163.2,85.8,65.8,57.4,36.8,36.2,22.1,27,15.8,59.8
20,"f",271,159.8,77.5,64.9,53.4,30.9,32.6,19.1,25.6,14,50
20,"f",272,173.2,85.7,71.5,60.4,36.6,36.4,21.8,28,15.6,69.2
23,"f",273,170,78.8,61.4,56.4,35.4,34.8,21,27.1,15,55.9
21,"f",274,161.4,88,75.4,63.1,37.6,34.3,21.7,28.4,14.8,63.4
28,"f",275,169,80.2,67.2,54.7,36,35.4,22.2,27,15.6,58.2
24,"f",276,159.4,81.3,57.9,49,33.6,33,19.6,26.6,14,45.7
25,"f",277,162.5,84.6,64.4,53.4,32.7,33,19.4,26.6,14.2,52.2
19,"f",278,159,82.2,62.3,52.8,32.4,32.5,21,24.4,14.8,48.6
20,"f",279,162.8,84.9,68.7,55.2,34.6,34.3,21.5,28.2,15,57.8
29,"f",280,159,81.5,68,55.4,34.5,35.3,21.6,27.4,15.6,55.6
24,"f",281,179.8,89.9,66,59,37.2,39,23.2,27,16.2,66.8
24,"f",282,162.9,89.8,71.2,58.2,34.2,34,20.4,28.2,15.4,59.4
25,"f",283,161,80.8,64.8,57.4,31,35.2,20.4,26.5,14.4,53.6
31,"f",284,151.1,88.4,78,75.7,38.2,39.8,22,33.8,14.4,73.2
22,"f",285,168.2,80.2,60.7,53.3,34.2,32.2,19,25.2,14.6,53.4
20,"f",286,168.9,89.5,75,63.2,37.6,36.6,22,29.6,15.1,69
32,"f",287,173.2,83.7,68.6,58,32.2,35.9,19.9,26.2,14.6,58.4
25,"f",288,171.8,82.5,67.1,53.2,35.9,36.6,23.8,27.3,15.3,56.2
19,"f",289,178,85.5,68,60.8,40.5,39.4,23.2,26.5,15.8,70.6
23,"f",290,164.3,88.3,71,59.2,35.6,35.8,20.8,28.2,15.5,59.8
22,"f",291,163,91.5,76,64.8,39.2,37,21.8,29.5,15.8,72
20,"f",292,168.5,92.2,70.3,59.6,37,37,23,30.8,16,65.2
27,"f",293,166.8,80.5,69.5,56.2,35.4,34,21.3,27.4,15.2,56.6
34,"f",294,172.7,108,101.5,70,45.6,45,25.8,40.3,18.2,105.2
25,"f",295,163.5,80,67.2,53.6,34.6,34.2,20.3,27.1,14.2,51.8
26,"f",296,169.4,89.5,68.7,58,35.9,37.4,22,30,16,63.4
19,"f",297,167.8,84.9,66,56.2,35.4,35.6,21,26.4,14.5,59
26,"f",298,159.5,80.8,67.5,53.8,33,33,20,24.8,14,47.6
25,"f",299,167.6,81,65.2,58.5,37.5,38.4,23.2,27.2,15.8,63
20,"f",300,161.2,88.7,64.2,56,33.9,33.2,20.5,29,15,55.2
21,"f",301,160,74.5,61,51.5,30.4,28.4,17.4,22.4,13.2,45
18,"f",302,163.2,81.9,60.2,53.3,36,35.8,21.2,26,15.2,54
19,"f",303,162.2,75.8,62.6,54,34.5,33,20.7,26.4,14.4,50.2
27,"f",304,161.3,88,72.7,56.6,36.8,37.6,22.4,29.5,16.6,60.2
26,"f",305,149.5,72.6,58.5,52.2,31.7,32,20.1,25,13.1,44.8
36,"f",306,157.5,88,67.5,56.3,35.6,33.5,21.8,28.4,16,58.8
20,"f",307,163.2,86,66.1,54.4,35,33,20.2,27.4,14.9,56.4
28,"f",308,172.7,85.5,68,59.6,36.1,35.1,21.6,28,15.6,62
32,"f",309,155,80.4,64,54.8,32.7,31.5,18.9,25.6,13.4,49.2
32,"f",310,156.5,98.1,90.1,53.8,34.7,37.2,21.5,32.1,15.8,67.2
23,"f",311,164,82,64.1,53.7,35.2,35,21,26.6,14.8,53.8
20,"f",312,160.9,89,72.4,52.6,33.2,34.4,21.3,27.6,14.6,54.4
20,"f",313,162.8,85.8,71,57.3,34.2,34,19.8,28.4,13.8,58
20,"f",314,167,85.9,69.1,56.2,35,34.4,20,28.9,15,59.8
23,"f",315,160,82.5,66.1,54.2,35.3,33.7,22,27.8,14.6,54.8
20,"f",316,160,74.5,59.5,46.3,31.6,29.6,18.6,23.2,13.8,43.2
28,"f",317,168.9,89.4,71.5,56.9,33.8,33.5,21.1,26.8,15.3,60.5
23,"f",318,158.2,80.3,65,50.8,31.6,31.6,18.8,25,14.2,46.4
19,"f",319,156,85.6,71.5,63,39.1,38.2,20.4,28.4,14.4,64.4
28,"f",320,160,83,63,53,30,31.2,20.4,24.1,14.4,48.8
19,"f",321,167.1,88.2,70,59.8,35.8,35,21.7,30.1,16,62.2
29,"f",322,158,85.5,70.4,57.5,33.1,32.8,19,28.3,13.9,55.5
32,"f",323,167.6,80.6,64.3,55.6,35.6,35.5,22,28.2,15.5,57.8
